ríkisvaldsins,
fulltrúalýðræði,representative democracy
Ríkisendurskoðun,
tilheyrir,belong
tilheyrir, be fitting
tilheyrir,be proper
tilheyrir,appropriate
stjórnsýslulögin,administrative laws
stjórnsýslulögun,administrative procedures act
stjórnsýslulögin,administrative law
felst,hide
felst,consist of
felst,comprise
felst,made up of
felast,comprise
leiðbeiningarskyldu stjórnsýslulaga,duty to teach or guide persons legally
rökstuðning,argumentation
rökstuðning,reasons
rökstuðning,grounds
rökstuðning,arguments
upplýsingaskyldu stjórnvalda,freedom of information
búa yfir,carry
búa yfir,possess
búa yfir,endowed
kunna,might
kunna,may
kunna,know how
kunna,known
friðhelgi einkalífs,private life
friðhelgi,privacy
kunna upp á tíu,know like the back of one's hand
kunna upp á tíu,know throughly
kunna upp á sína tíu fingur,know throughly
kunna upp á sína tíu fingur,know like the back of one's hands
sérdómstólarnir,special courts
sérdómstólarnir,extraordinary courts
sakamál,criminal case
einkamál,private matter
einkamál,private affair
einkamál,civil action
þingfesting,arraignment
þingfesting,commencement of proceedings
gerðardóma,arbitration
gerðardóma,court of arbitration
gerðardóma,arbittration committee
gerðardóma,arbitration committee
fullnustugerðir,execution
nauðungarsala,foreclosure
réttaráhrif,legal effect
réttaráhrif,legal impact
gjaldþrotaúrskurðar,insolvency ruling
gjaldþrotaúrskurðar,bankruptcy decree
fallna,qualified
fallna,capable
fallna,conducive
fallinn,qualified
fallinn,capable
fallinn,conducive
raska,disturb
raska,perturb
raska,disrupt
raska,interfere
raska,derange
raska,discompose
raska,agitate
raska,chequer
raska,confound
smásala,retail
bókun,protocol
bókun,minutes
bókun,booking
bókun,registration
bókun,registry
bókun,reservation
bókun,book-keeping entry
bókun,entry
bókun,recorded item
frábrugðnir,different
frábrugðnir,distinct
frábrugðnir,unlike
frábrugðnir,dissimilar
sérhverju,every
sérhverju,each and every
meginreglu,principle
samningaréttarins,right to negotiate
samningaréttarins,bargaining rights
samningaréttarins,contract rights
samningsréttar,right to negotiate
samningsréttur,bargaining rights
samningar skulu standa,pact sunt servanda
samningar skulu standa,pacta sunt servanda
samningar skulu standa,agreements must be kept
pacta sunt servanda,agreements must be kept
fjárræði,financial capacity
fjárræði,financial capability
loforð,promise
skilgreiningin,definition
ógildum,invalid
ógildum,void
ógildum,null and void
ógildingarástæður, reasons for nullification
stuttu máli,short answer
stuttu máli,in brief
stuttu máli,stated briefly
á við,be suitable
á við,apply
á við,mean
á við,suit
ósanngjarn,unfair
ósanngjarn,unreasonable
samningalögunum,contract law
reynt á,exert
reynt á,try
reynt á,test
reynt á,push
meðalhóf,moderation
meðalhóf,proportionality
eftirfarandi,as follows
eftirfarandi,following
eftirfarandi,subsequent
efitrfarandi,this
skerðingu,reduction
skerðingu,cut
skerðingu,impairment
tjónvalds,tort feasor
tjónvalds,perpetrator
tjónvalds,party at fault
tjónþola,injured party
tjónþola,claimant
saknæmt,criminal
saknæmt,punishable
veldur,cause
veldur,be the cause of
veldur,lead to
valda,lead to
valda,be the cause of
huglægt,subjective
tjónsverknaðinn,harmful act
tjónsverknaðinn,damagin deed
ásetningi,intention
ásetningi,plan
ásetningi,resolve
gáleysi,carelessness
gáleysi,thoughtlessness
framið,perpetrate
framið,commit
framið,carry out
fremja,carry out
fremja,commit
fremja,perpetrate
vinna tjón,cause damage
óhjákvæmileg,
sóst,
vístvitandi,
hardvömm,
athafnafrelsis,
leggja mat,
hefði mátt sjá,
hefði átt að sjá,
leyst,
dekkjaróla,
vanbúinn,
áfátt,
óhappatilvík,
rakið,
gerðar,
annars vegar,on one hand
athöfn,
athafnaleysi,
á tíðum,
tilviljun,
bonus pater familias,
olli,
grandvar,
óforsvaranleg,
séð fyrir,forsee
séð fyrir,in sight
séð fyrir,imagine
saknæmistígið,
óafvitandi,
stórfellt,
varð fyrir,
skyggni,awning
skyggni,shade
skyggni,visor
torgi,
segli,sail
segl,sail
lét,
skurð,
togna,
tilhneigingu,
umrætt,in queston
umrætt,said
umrætt,discussed
varhugavert,risky
varhugavert,dangerous
varhugavert,perilous
framhlið,
togna,sprain
togna,pull
mannvirkja,
sést til þeirra,ensure
sést til þeirra,make sure
fyrirhöfn,effort
fyrirhöfn,exertion
fyrirhöfn,trouble
fyrirhöfn,faff
ófyrirsjáanleg,unforseeable
ófyrirsjáanleg,unpredictable
rakið,follow
rakið,trace
rakið,track
rekja,follow
rekja,trace
rekja,track
þrífst,thrives
þrífst,grows
þrífst,develops
þrífst,flourish
þrífst,prosper
þrífast,thrive
þrífast,grows
þrífast,develops
þrífast,flourish
þrífast,prosper
myndast,appear
myndast,form
myndast,photograph
vöggu,cradle
síaukinni,ever-increasing
síaukinni,ever-growing
síaukinni,continually increasing
mönnum,human
mönnum,man
mönnum,person
maður,human
maður,man
maður,person
hugleikin,important
hugleikin,dear
hugleikin,near to one's heart
fræðslu,instruction
fræðslu,training
fræðslu,teaching
fræðslu,information
brjóta til mergjar,get to the bottom of
brjóta til mergjar,investigate in depth
refsirétt,criminal law
skyldleika,kinship
skyldleika,similarity
sérhæfð,specialized
réttarheimild,sources of law
lög og réttur,laws and rights
réttarsamband,
réttindi,right
réttindi,entitlement
réttindi,certification
réttindi,qualification
rétthæfi,
löggerningur,legal act
löggerningur,act of law
lögggerningur,legal letter of intent
viljayfirlýsing,letter of intent
réttaráhrif,
réttarregla,rule of law
réttarregla,acquis
beita,employ
beita,hitch
beita,beat
beita,apply
beita,exert
beita,wield
málalengingar,empty talk
málalengingar,idle talk
málalengingar,bluff
málalengingar,chit-chat
tæknivæddari,high-tech
tæknivæddari,technologically advanced
þjappast saman,intermingle
þjappast saman,crowd together
þjappast saman,grouped together
alþjóðavæðingin,globalisation
átta sig á,realise
átta sig á,figure out
átta sig á,become aware of
lengst af,for the longest time
greinileg merki,clear sign
greinileg merki,obvious marker
þáttaskil,turning point
þáttaskil,start of a new chapter
tilkomu,advent
tilkomu,arrival
Evrópska efnahagssvæðið (EES) lög nr.2/1993,European economic area
EES-samninginn,EEA agreement
landsrétt,national court
góma,get
góma,catch
góma,nab
settar,introduce
settar,adopt
settar,set
settar,lay out
bráðabirðalög,emergency law
víðtækara,broad
víðtækara,comprehensive
tilorðnar,ordained
tilorðnar,created
tilorðnar,formed
tilorðnar,originated
alþjóðlegar reglur,international regulations
alþjóðlegar reglur,international law
fræðigreinum,discipline
fræðigreinum,academic subject
dómstóll,court
dómstóll,court of law
dómstóll,judicative
skipulagsbundinn,
félagsskapur,
árekstrarar,
kemur til kasta,
leikreglur,rules of play
leikreglur,rules of the game
leikreglur,rules of engagement
leikreglur,ground rules
leikreglur,rule of law
réttarreglur,rules of play
réttarreglur,rules of the game
réttarreglur,rules of engagement
réttarreglur,ground rules
aldaraðir,
spreytt,
réttarhugtakið,
tímanna rás,
þjóðveldisöld,
blóðhefnd,
viðurkennd,
refsiverð,
fjölkvæni,
valdi,
undirstöðum,
stjórnskipunar,
lýðræðisríkja,
réttarríkishugmyndin,
réttarríki,
valdhafarnir,
lögum,
virt,
réttaröryggi,
ásælni,
ríkisvaldsins,
borgarans,
hinu opinbera,
fræðikerfi,
óviðkomandi,
heildarmynd,big picture
heildarmynd,overview
heildarmynd,full picture
fræðistarf,
rekja til,
tiltekið,
flokkun,
samstöðu,
þjóðaréttur,international law
allsherjarréttur,
ríkisbundnar réttarreglur,
kirkjuréttar,
réttarfar,
ríkisréttur,
stjórnskipunarréttur,
stjórnsýsluréttur,
einkaréttur,
persónuréttur,
sifjaréttur,
sjóréttur,
hugverka- og auðkennaréttur,
félagaréttur,
viðskiptaréttur,
alþjóðastofnana,
sameinuðu þjóðanna,United Nations
í seinni tíma,lately
í seinni tíma,in recent times
í seinni tíma,in modern times
í seinni tíma,later on
auknum mæli,increased talk
hagsmunum,rights
hagsmuum,interests
mannréttindayfirlýsing,
mannréttindasáttmáli Evrópu lög nr. 62/1994,
þegna,citizen
þegna,subject
þegn,citizen
þegn,subject
innbyrðis,
tvíeðli,dualism
ESB-gerð,
réttarheimildir Evrópusambandsins,
lögfest,
lagaákvæði,statutory provision,
lagaákvæði,legal provision
alþjóðasamninga,
eigi lög,
eineðliskenningin,monism
landsréttar,national law
landsréttar,law of the land
landsréttar,national legislation
ríkisbundnar réttarreglur,law of the land
ríkisbundnar réttarreglur,national law
ríkisbundnar réttarreglur,national legislation
landslög,law of the land
landslög,national law
landslög,national legislation
regla,
kenningunni,
Evrópusambandsins,
leiða,
ákvæði,
Rómarsáttmálans,
lagasetningar,legislation
lagasetningar,lawmaking
þjóðréttarsamningar,
lög nr. 110/1951 varnarsamning,
yfirlitsmyndin,graphical overview
yfirlitsmyndin,overview tree
starfsháttu,
draga skýrmörk,set a clear boundary
draga skýrmörk,draw a clear line
skiptar skoðanir,divisive views
skiptar skoðanir,divided viewpoints
skarast,overlap
löggjöf,legislation
löggjöf,statute
alger,
allsráðandi,
alþjóðasamstarfi,
æ,
ríghalda,
straumhvörf,
hjólbarða,
sakadómi,
sakborningsins,
ómerkingar,untruthful
ómerkingar,dishonest
færi,provide
færi,present
færi,bring
færi,give
færi,put forward
færa,provide
færa,present
færa,bring
færa,give
færa,put forward
umboðsvald,
lögregluvald,
glæpsamlegt,
athæfi,
réttlátrar,
landfræðilegar,
gegnt störfum,
stjórnarskrárinnar,basic law
stjórnarskrárinnar,constitution
bundið,
landsrétti,national court
landsrétti,law of the land
landsrétti,national law
landsrétti,national legislation
málavöxtu,
dómstörfum,
fordæmi,precedent
fordæmi,example
fordæmi,prior instance
forsendu,prerequisite
forsendu,stipulation
forsendu,condition
vísað frá,throw out
vísað frá,reject
vísað frá,turn away
dreifa,spread
dreifa,disseminate
dreifa,divert
dreifa,distribute
dreifa,scatter
dreifa,distract
dreifa,disperse
dreifa,clear
kanna,explore
kanna,survey
kanna,check
kanna,see
viðhlítandi,
staðhæfingum,
eðlismáls,
meginreglur laga,
lögjöfnun,legal analogy
einkum,first and foremost
einkum,especially
einkum,particularly
einkum,in particular
réttarsvið,
meginstefnu,
dómvenju,case precedents
dómvenju,case law
löggjafarvaldið,
tekur mið af,consider
tekur mið af,take into account
almenn lög,acts of parliament
lýðveldisstjórnarskráin,
grundvallarlög, organic law
grundvallarlög,fundamental law
grundvallarlög,constitutional law
grundvallarlög,constitution
stjórnskipunarlög, organic law
stjórnskipunarlög,fundamental law
stjórnskipunarlög,constitutional law
stjórnskipunarlög,constitution
æðri,superior
æðri,upper
æðri,higher
æðri,high-ranking
ganga í berhögg við,go in direct provocation to
ganga í berhögg við,stand head to head
er að finna,can be found
meginákvæði,main clause
meginákvæði,main proviso
meginákvæði,main stipulation
setning,passing
setning,adoption
vandaðri,better made
vandaðri,more honest
rjúfa,
efna til,throw
efna til,organize
felli,
er úr sögunni,has been eradicated
standa fyrir dyrum,is on the horizon
standa fyrir dyrum,is around the corner
hvort eð er,in any event
